UUID,Version,Name (en),Kategorie (en),Bezugseinheit,Modul,GWP,ODP,POCP,AP,EP,ADPE
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,B2,,,,,,
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,B3,,,,,,
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,B4,,,,,,
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,B5,,,,,,
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,B6,,,,,,
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,B7,,,,,,
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,C1,,,,,,
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,C2,,,,,,
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,C3,,,,,,
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,C4,,,,,,
c07b71e8-111b-4093-b8d8-a521c03c0c99,00.00.002,Flat glass - Bundesverband Flachglas e.V - Insulating glass unit triple structure,Components for windows and curtain walls' / 'Infill' / 'Transparent infill,qm,D,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,A1-A3,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,A4,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,A5,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,B1,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,B2,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,B3,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,B4,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,B5,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,B6,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,B7,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,C1,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,C2,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,C3,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,C4,,,,,,
34a977a9-abad-4f56-8d07-3188ecac7e22,00.01.002,connecting technology - Viega - PureFlow Crimp,Metals' / 'Copper' / 'Cast or forged copper and brass items,kg,D,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,A1-A3,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,A4,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,A5,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,B1,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,B2,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,B3,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,B4,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,B5,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,B6,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,B7,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,C1,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,C2,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,C3,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,C4,,,,,,
2c74989f-6441-4a41-9278-fa3206d467f6,00.01.002,connecting technology - Viega - PureFlow Crimp,Plastics' / 'Tubes' / 'Tab water tubes,m,D,,,,,,
